vendorCode,title,description,sellingPrice,onHand,productLine,imageUrl,brand,category,subcategory
CMT16GX4M2C3600C18,Corsair DOMINATOR® PLATINUM RGB 16GB (2 x 8GB) DDR4 DRAM 3600MHz C16 Memory Kit; 18-19-19-39; 1.35V; Black,Corsair DOMINATOR® PLATINUM RGB 16GB (2 x 8GB) DDR4 DRAM 3600MHz C16 Memory Kit; 18-19-19-39; 1.35V; Black,2600,0,Corsair,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/cmt16gx4m2c3600c18/pictures/cmt16gx4m2c3600c18.jpg,Corsair,Storage & Memory,Memory Upgrade/RAM
CO-9050074-WW,Corsair LL140 RGB 140mm Dual Light Loop RGB LED PWM 600 - 1300 RPM Cooling Fan — 2 Fan Pack with Lighting Node PRO,Corsair LL140 RGB 140mm Dual Light Loop RGB LED PWM 600 - 1300 RPM Cooling Fan — 2 Fan Pack with Lighting Node PRO,1150,0,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_8149588470.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_1586139391.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_6403245289.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_7774212486.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_9157283734.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_7301703759.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_1192717946.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_8467543673.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_6438806880.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_5816353663.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_2300498213.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_0040743865.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_1305878689.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_3933108703.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_0028867590.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_8699696964.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_3186126191.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_4080096553.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_6155045325.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050074-WW/CO-9050074-WW/38224216_2646473134.jpg,#N/A,#N/A,#N/A
CO-9050098-WW,iCUE QL120 RGB 120mm PWM Triple Fan with Lighting Node CORE,iCUE QL120 RGB 120mm PWM Triple Fan with Lighting Node CORE,1490,0,Corsair,https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/co-9050098-ww/pictures/co-9050098-ww...jpg;https://content.storefront7.co.za/stores/za.co.storefront7.rectron/products/co-9050098-ww/pictures/co-9050098-ww.jpg,Corsair,Components & Accessories,Fans & Cooling Systems
CP-9020180,Corsair RMx Series™ RM850x — 850 Watt 80 PLUS® Gold Certified Fully Modular PSU; 10yr Warranty,Corsair RMx Series™ RM850x — 850 Watt 80 PLUS® Gold Certified Fully Modular PSU; 10yr Warranty,2200,2,Corsair,,#N/A,#N/A,#N/A
CH-9101024-NA,Corsair K70 RAPIDFIRE Mechanical Gaming Keyboard — CHERRY® MX Speed,Corsair K70 RAPIDFIRE Mechanical Gaming Keyboard — CHERRY® MX Speed,1450,0,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CH-9101024-NA/CH-9101024-NA/31430061_9545.jpg,#N/A,#N/A,#N/A
CO-9050039-WW,Corsair ML120 120mm PWM 40 - 2400 RPM Premium Magnetic Levitation Fan; Dual Pack,Corsair ML120 120mm PWM 40 - 2400 RPM Premium Magnetic Levitation Fan; Dual Pack,365,0,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050039-WW/CO-9050039-WW/32347602_6074.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050039-WW/CO-9050039-WW/32347602_5527327072.jpg,#N/A,#N/A,#N/A
CC-9011075-WW,Corsair Carbide Series™ 100R Mid-Tower ATX Case; Black; Windowed,Corsair Carbide Series™ 100R Mid-Tower ATX Case; Black; Windowed,720,20,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_2017.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_1204.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_9466.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_3590.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_7116.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_3960.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_5722.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_6441.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_2128.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_8827.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_9447.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_6243.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_0102025725.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_9808.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_6646.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_4464.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011075-WW/CC-9011075-WW/25898417_6174.jpg,Corsair,Components & Accessories,Chassis
CO-9050110-WW,Corsair SP140 RGB ELITE; 140mm RGB LED Fan with AirGuide; Single Pack,Corsair SP140 RGB ELITE; 140mm RGB LED Fan with AirGuide; Single Pack,280,0,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_5438659111.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_0823398694.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_2089597695.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_2776804389.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_4139015670.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_8044339242.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_3405860582.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_9716294201.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_9174313599.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_0745006237.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_4952633238.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_7167974890.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_1780812830.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_6716678621.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_3397677066.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CO-9050110-WW/89645884_3991387791.jpg,Corsair,Components & Accessories,Fans & Cooling Systems
Elgato Video Capture 1VC108601001,Elgato Video Capture - Analogue to Digital recorder,Elgato Video Capture - Analogue to Digital recorder,1450,37,Corsair,,#N/A,#N/A,#N/A
CC-9011167-WW,Corsair Carbide Series 678C Low Noise E-ATX Case; Black; Tempered Glass Panel,Corsair Carbide Series 678C Low Noise E-ATX Case; Black; Tempered Glass Panel,2750,4,Corsair,https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_9117473105.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_7521093221.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_5648729768.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_9899902462.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_9583452973.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_0266706777.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_6898604889.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_3882808042.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_7247869574.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_1793579121.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_1399347745.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_5804700375.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_2190596085.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_1645395890.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_7148873883.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_9009022341.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_4156403505.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_2439204849.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_0562248368.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_5121556085.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_1100742293.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_5681553544.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_3265877523.jpg;https://content.storefront7.co.za/stores/feed-library/Rectron/CC-9011167-WW/CC-9011167-WW/66926462_0379504877.jpg,#N/A,#N/A,#N/A
